,movie_id,movie_name,year,genre,overview,director,cast
28,tt13751694,Animal,2023,"Action, Crime, Drama","Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »",Sandeep Reddy Vanga,"Ranbir Kapoor, Triptii Dimri, Saurabh Sachdeva, Anil Kapoor"
29,tt15891388,Miss Shetty Mr Polishetty,2023,"Comedy, Drama, Romance","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.",Mahesh Babu P.,"Keshav Deepak, Abhinav Gomatam, Jayasudha, Koushik Mahata"
30,tt19755170,Bawaal,2023,"Action, Drama, Romance",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,Nitesh Tiwari,"Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena"
31,tt6277462,Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Nagarjuna Akkineni"
32,tt20913276,Ghoomer,2023,"Drama, Sport","Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.",R. Balki,"Amitabh Bachchan, Shabana Azmi, Abhishek Bachchan, Saiyami Kher"
33,tt18411490,Tiger 3,2023,"Action, Adventure, Thriller",Plot under wraps,Maneesh Sharma,"Salman Khan, Katrina Kaif"
34,tt8672856,Tu Jhoothi Main Makkaar,2023,"Comedy, Romance","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor, Krrish Saini, Anubhav Singh Bassi"
35,tt15501640,Drishyam 2,2022,"Crime, Drama, Mystery",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
36,tt0083987,Gandhi,1982,"Biography, Drama, History",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth"
37,tt2338151,PK,2014,"Comedy, Drama, Sci-Fi",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
38,tt1188996,My Name Is Khan,2010,"Adventure, Drama, Romance",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
39,tt3405236,Raees,2017,"Action, Crime, Drama",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Rahul Dholakia,"Shah Rukh Khan, Jaideep Ahlawat, Sunny Leone, Nawazuddin Siddiqui"
40,tt26324936,Rama Banam,2023,"Action, Drama","Two siblings, who despite their difference in ideologies come together to fight for their common goal.",Sriwass,"Gopichand, Dimple Hayathi, Jagapathi Babu, Kushboo"
41,tt8108198,Andhadhun,2018,"Crime, Mystery, Thriller","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan"
42,tt23036080,Thank You for Coming,2023,Comedy,"When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love.",Karan Boolani,"Bhumi Pednekar, Dolly Ahluwalia, Shibani Bedi, Saloni Daini"
43,tt22086334,Dream Girl 2,2023,"Comedy, Drama, Romance","Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.",Raaj Shaandilyaa,"Paresh Rawal, Ananya Panday, Ayushmann Khurrana, Annu Kapoor"
44,tt15380630,Kushi,2023,"Comedy, Drama, Romance","Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader.",Shiva Nirvana,"Samantha Ruth Prabhu, Vijay Deverakonda, Lakshmi, Murli Sharma"
45,tt0986264,Taare Zameen Par,2007,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
46,tt4430212,Drishyam,2015,"Crime, Drama, Mystery","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
47,tt22297828,Chor Nikal Ke Bhaga,2023,"Crime, Drama, Thriller","A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.",Ajay Singh,"Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta"
48,tt10083340,Gangubai Kathiawadi,2022,"Biography, Crime, Drama","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",Sanjay Leela Bhansali,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari"
49,tt27012110,Gaslight,2023,"Crime, Horror, Mystery","Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.",Pavan Kirpalani,"Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev"
50,tt15245240,The Buckingham Murders,2023,Thriller,"Follows Jass, a detective-mother who after losing her own child must investigate the murder of a 10-year-old in Buckinghamshire, going down a rabbit hole of secrets, where almost everyone in the small town becomes a suspect.",Hansal Mehta,"Kareena Kapoor, Keith Allen, Haqi Ali, Chris Wilson"
51,tt13818368,Fighter,2024,"Action, Adventure, Thriller","FIGHTER is India's first aerial action film releasing in theaters on 25th January, 2024.",Siddharth Anand,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Akarsh Alagh"
52,tt15302222,Bholaa,2023,"Action, Adventure, Crime","After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.",Ajay Devgn,"Ajay Devgn, Tabu, Abhishek Bachchan, Amala Paul"
53,tt1024943,Om Shanti Om,2007,"Action, Comedy, Drama","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
54,tt0248126,Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.",Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan"
55,tt24268454,The Kerala Story,2023,Drama,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","Sudipto Sen, Vipul Amrutlal Shah","Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani"
56,tt13131350,Vikram Vedha,2022,"Action, Crime, Drama",A tough police officer sets out to track down and kill an equally tough gangster.,"Gayatri, Pushkar","Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf"
57,tt0367110,"Swades: We, the People",2004,"Drama, Musical",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
58,tt3863552,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Kabir Khan, Mehmet Tutkun","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
59,tt27501039,Bloody Daddy,2023,"Action, Crime, Drama","A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.",Ali Abbas Zafar,"Shahid Kapoor, Vivan Bhatena, Diana Penty, Ronit Roy"
60,tt2980648,The Hundred-Foot Journey,2014,"Comedy, Drama",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon"
61,tt10811166,The Kashmir Files,2022,Drama,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
62,tt22892546,Akelli,2023,"Drama, Thriller",An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.,Pranay Meshram,"Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra"
63,tt2283748,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
64,tt12915716,Adipurush,2023,"Action, Adventure, Drama",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,Om Raut,"Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage"
65,tt15073166,IB 71,2023,"Action, Thriller",A two- front war between Indian intelligence agencies and the Pakistani establishment.,"Sankalp Reddy, Lee Whittaker","Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan"
66,tt5935704,Padmaavat,2018,"Drama, History, Romance","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari"
67,tt1562872,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
68,tt2176013,Jab Tak Hai Jaan,2012,"Drama, Romance",An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps"
69,tt15128068,Monica O My Darling,2022,"Comedy, Crime, Drama","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.",Vasan Bala,"Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal"
70,tt14099334,Bhediya,2022,"Comedy, Fantasy, Horror","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal"
71,tt1562871,Ra.One,2011,"Action, Adventure, Sci-Fi","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami"
72,tt10028196,Laal Singh Chaddha,2022,"Comedy, Drama, Romance","The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness.",Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
73,tt1285241,Don 2,2011,"Action, Crime, Thriller","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
74,tt15654262,Chup,2022,"Crime, Drama, Mystery",A crime thriller in which police are on the hunt for a killer who is targeting film critics.,R. Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt"
75,tt0172684,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
76,tt0461936,Don,2006,"Action, Crime, Thriller","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
77,tt0238936,Devdas,2002,"Drama, Musical, Romance","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
78,tt8130968,Badla,2019,"Crime, Drama, Mystery",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
79,tt11905536,Gumraah,2023,"Action, Crime, Drama",The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,Vardhan Ketkar,"Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto"
80,tt2350496,The Lunchbox,2013,"Drama, Romance",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
81,tt15576460,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.",Laxman Utekar,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee"
82,tt0891592,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy","When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison.",Andrzej Bartkowiak,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein"
83,tt13334578,Ganapath,2023,"Action, Drama, Sci-Fi","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark.",Vikas Bahl,"Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan"
84,tt12735488,Kalki 2898-AD,2024,"Action, Drama, Fantasy","A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces.",Nag Ashwin,"Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani"
85,tt0347304,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
86,tt0361411,Bride & Prejudice,2004,"Comedy, Drama, Musical","A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family.",Gurinder Chadha,"Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher"
87,tt6571548,The White Tiger,2021,"Crime, Drama",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
88,tt27989067,Lust Stories 2,2023,"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".","R. Balki, Sujoy Ghosh, Amit Ravindernath Sharma, Konkona Sen Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur"
89,tt3735246,Bajirao Mastani,2015,"Action, Drama, History","An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
90,tt0195002,Kaun?,1999,"Mystery, Thriller","While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",Ram Gopal Varma,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh"
91,tt5946128,Dear Zindagi,2016,"Drama, Romance","Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.",Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
92,tt9052870,Chhichhore,2019,"Comedy, Drama, Romance","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
93,tt15145764,Freddy,2022,"Drama, Mystery, Romance",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,Shashanka Ghosh,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
94,tt2178470,Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
95,tt7142506,Sir,2018,"Drama, Romance","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer.",Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra"
96,tt14295590,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,Ashima Chibber,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta"
97,tt0374887,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
98,tt3495026,Fan,2016,"Action, Drama, Thriller",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,Maneesh Sharma,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
99,tt28540171,Welcome to the Jungle,2024, ,Police officers Jay Bakshi and Sandhya have been given task to track down notorious criminal Raj Solanki. Things take an unexpected turn when JaY finds out that Raj plays a significant role in his life.,Ahmed Khan,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez"
100,tt6148156,Vikram Vedha,2017,"Action, Crime, Drama","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
101,tt0169102,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
